,City,Lat,Lng,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,bredasdorp,-34.5322,20.0403,26.0,41,0,4.63,ZA,1612278813
1,tungor,53.3808,142.9564,-31.8,84,100,6.87,RU,1612278813
2,bluff,-46.6,168.3333,14.41,90,56,2.14,NZ,1612278814
3,guanica,17.9716,-66.908,27.78,63,18,3.13,PR,1612278814
4,hasaki,35.7333,140.8333,4.0,52,20,2.57,JP,1612278814
5,kaitangata,-46.2817,169.8464,13.04,89,59,1.71,NZ,1612278814
6,tasiilaq,65.6145,-37.6368,-8.0,86,90,1.03,GL,1612278814
7,storforshei,66.4043,14.5233,-12.78,78,0,1.03,NO,1612278814
8,pemangkat,1.1667,108.9667,25.48,88,85,6.66,ID,1612278814
9,san cristobal,7.7669,-72.225,32.0,31,40,12.35,VE,1612278814
10,adrar,20.5022,-10.0711,30.45,13,33,6.21,MR,1612278814
11,tucupita,9.0622,-62.051,28.5,60,69,2.59,VE,1612278815
12,salalah,17.0151,54.0924,24.0,57,0,1.54,OM,1612278815
13,ushuaia,-54.8,-68.3,12.0,66,75,11.83,AR,1612278815
14,launceston,-41.45,147.1667,12.78,82,18,5.66,AU,1612278815
15,mataura,-46.1927,168.8643,12.23,89,48,0.61,NZ,1612278815
16,saint-philippe,-21.3585,55.7679,29.0,70,90,1.03,RE,1612278815
17,san jose de tarros,15.3,-88.7,12.0,100,75,2.57,HN,1612278815
18,yulara,-25.2406,130.9889,28.0,26,15,3.6,AU,1612278816
19,yellowknife,62.456,-114.3525,-23.89,77,90,6.69,CA,1612278816
20,albany,42.6001,-73.9662,-2.22,87,100,0.89,US,1612278816
21,vestmannaeyjar,63.4427,-20.2734,3.0,75,40,16.46,IS,1612278816
22,pisco,-13.7,-76.2167,23.0,73,0,4.63,PE,1612278816
23,kapaa,22.0752,-159.319,20.0,100,90,2.57,US,1612278816
24,norman wells,65.282,-126.8329,-28.0,76,75,5.66,CA,1612278816
25,zhovtneve,50.6637,24.2492,-0.98,98,43,3.49,UA,1612278816
26,betsiamites,48.9413,-68.646,-4.0,80,1,4.12,CA,1612278816
27,hithadhoo,-0.6,73.0833,28.62,68,100,1.63,MV,1612278817
28,saldanha,-33.0117,17.9442,29.0,30,4,7.72,ZA,1612278817
29,nanortalik,60.1432,-45.2371,-6.95,88,0,6.01,GL,1612278817
30,matagami,49.7502,-77.6328,-16.0,100,90,2.06,CA,1612278817
31,touros,-5.1989,-35.4608,31.0,51,75,7.2,BR,1612278817
32,dikson,73.5069,80.5464,-29.03,82,61,5.92,RU,1612278817
33,new norfolk,-42.7826,147.0587,13.33,70,82,0.56,AU,1612278817
34,rikitea,-23.1203,-134.9692,25.2,75,94,6.82,PF,1612278818
35,grass valley,39.2191,-121.0611,7.22,100,90,3.09,US,1612278818
36,marquette,46.5333,-87.6335,-1.67,75,97,4.7,US,1612278818
37,busselton,-33.65,115.3333,19.18,80,0,5.01,AU,1612278818
38,oussouye,12.485,-16.5469,37.0,19,0,2.06,SN,1612278818
39,tuktoyaktuk,69.4541,-133.0374,-34.0,75,20,3.6,CA,1612278818
40,port lincoln,-34.7333,135.8667,15.67,80,0,6.34,AU,1612278818
41,butaritari,3.0707,172.7902,27.51,82,75,7.95,KI,1612278818
42,atuona,-9.8,-139.0333,25.45,78,2,5.97,PF,1612278819
43,gamba,-2.65,10.0,28.96,70,80,3.87,GA,1612278819
44,cetraro,39.5166,15.9416,3.0,100,90,2.06,IT,1612278819
45,tuatapere,-46.1333,167.6833,13.0,91,39,2.12,NZ,1612278819
46,deputatskiy,69.3,139.9,-30.45,88,100,2.28,RU,1612278819
47,upernavik,72.7868,-56.1549,-22.39,88,100,4.93,GL,1612278819
48,flinders,-34.5833,150.8552,18.33,80,67,2.24,AU,1612278819
49,cidreira,-30.1811,-50.2056,27.79,73,15,2.06,BR,1612278819
50,barrow,71.2906,-156.7887,-32.0,68,1,5.66,US,1612278819
51,thompson,55.7435,-97.8558,-10.0,92,90,1.54,CA,1612278820
52,bambous virieux,-20.3428,57.7575,28.0,78,40,4.63,MU,1612278820
53,poronaysk,49.2167,143.1167,-28.83,83,0,1.85,RU,1612278820
54,puri,19.8,85.85,22.0,60,0,0.51,IN,1612278820
55,arraial do cabo,-22.9661,-42.0278,30.0,54,0,9.26,BR,1612278820
56,lagoa,39.05,-27.9833,12.78,69,47,14.56,PT,1612278820
57,piacabucu,-10.4056,-36.4344,29.73,60,96,6.71,BR,1612278820
58,fortuna,40.5982,-124.1573,8.33,93,90,0.95,US,1612278821
59,lebu,-37.6167,-73.65,17.59,64,14,6.78,CL,1612278821
60,esso,55.9333,158.7,-22.71,80,34,1.08,RU,1612278821
61,tukrah,32.5341,20.5791,17.12,57,40,5.66,LY,1612278821
62,souillac,-20.5167,57.5167,28.0,78,40,4.63,MU,1612278821
63,castro,-24.7911,-50.0119,26.65,63,6,3.2,BR,1612278821
64,bilma,18.6853,12.9164,28.23,13,0,5.54,NE,1612278821
65,shirokovskiy,58.8424,57.7832,-12.56,95,80,0.68,RU,1612278822
66,geraldton,-28.7667,114.6,23.0,83,97,6.69,AU,1612278673
67,luocheng,29.3848,104.0286,12.76,60,91,1.12,CN,1612278822
68,sena madureira,-9.0656,-68.6569,30.57,59,86,1.48,BR,1612278822
69,racale,39.9631,18.0938,15.0,88,40,2.57,IT,1612278822
70,wasilla,61.5814,-149.4394,-11.0,37,1,11.83,US,1612278822
71,galveston,29.3669,-94.9669,14.0,47,1,4.63,US,1612278822
72,yerbogachen,61.2767,108.0108,-37.98,82,28,1.38,RU,1612278822
73,vaini,-21.2,-175.2,26.0,94,90,9.26,TO,1612278823
74,qaanaaq,77.484,-69.3632,-20.08,83,100,1.84,GL,1612278823
75,chokurdakh,70.6333,147.9167,-15.51,94,97,5.84,RU,1612278823
76,skjervoy,70.0311,20.9714,-11.0,85,75,1.54,NO,1612278823
77,esperance,-33.8667,121.9,22.0,56,100,5.14,AU,1612278823
78,katima mulilo,-17.5,24.2667,25.9,78,98,1.6,NA,1612278607
79,faanui,-16.4833,-151.75,27.09,76,8,6.02,PF,1612278823
80,antofagasta,-23.65,-70.4,22.78,60,0,4.63,CL,1612278823
81,mount gambier,-37.8333,140.7667,14.0,77,90,4.63,AU,1612278823
82,tahoua,14.8888,5.2692,32.0,6,0,1.03,NE,1612278824
83,georgetown,5.4112,100.3354,28.0,83,20,1.9,MY,1612278824
84,chapais,49.7834,-74.8492,-6.0,93,90,3.09,CA,1612278824
85,avarua,-21.2078,-159.775,27.0,78,75,4.63,CK,1612278824
86,salcininkai,54.3,25.3833,-4.44,93,90,7.2,LT,1612278824
87,presidencia roque saenz pena,-26.7852,-60.4388,29.98,59,87,2.16,AR,1612278824
88,solnechnyy,50.7214,136.6319,-29.05,85,100,0.72,RU,1612278824
